target variable	mapping	Question	Question	Note	InterVA4
AC_CONV	true_to_y_dot(Id10219 == 'yes' && Id10221 >= 0 && Id10221 < 10)	Did the convulsions last for less than 10 minutes	For how many minutes did the convulsions last?		2550
CH_CONV	true_to_y_dot(Id10219 == 'yes' && Id10221 >= 10)	Did the convulsions last for 10 minutes or more?	For how many minutes did the convulsions last?		2560
UNC_CON	true_to_y_dot(Id10219 == 'yes' && Id10222 == 'yes')	Did (s)he become unconscious immediately after the convulsion?	Did (s)he become unconscious immediately after the convulsion?		2570
URINE	true_to_y_dot(Id10223 == 'yes')	Did (s)he have any urine problems?	Did (s)he have any urine problems?		2580
URI_RET	true_to_y_dot(Id10223 == 'yes' && Id10224 == 'yes')	Did (s)he pass no urine at all?	Did (s)he pass no urine at all?		2590
EXC_URINE	true_to_y_dot(Id10223 == 'yes' && Id10225 == 'yes')	Did (s)he go to urinate more often than usual?	Did (s)he go to urinate more often than usual?		2600
URI_HAEM	true_to_y_dot(Id10223 == 'yes' && Id10226 == 'yes')	During the final illness did (s)he ever pass blood in the urine?	During the final illness did (s)he ever pass blood in the urine?		2610
WT_LOSS	true_to_y_dot(Id10243 == 'yes')	Did (s)he have noticeable weight loss?	Did (s)he have noticeable weight loss?		2620
WASTING	true_to_y_dot(Id10244 == 'yes')	Was (s)he severely thin or wasted?	Was (s)he severely thin or wasted?		2630
OR_CAND	true_to_y_dot(Id10245 == 'yes')	Did (s)he have mouth sores or white patches in the mouth or on the tongue?	During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?		2640
RIGIDITY	true_to_y_dot(Id10246 == 'yes')	Did (s)he have stiffness of the whole body or was unable to open the mouth?	Did (s)he have stiffness of the whole body or was unable to open the mouth?		2650
SWELL	true_to_y_dot(Id10253 == 'yes')	Did (s)he have any lumps?	Did (s)he have any lumps?		2660
SWE_ORAL	true_to_y_dot(Id10253 == 'yes' && Id10254 == 'yes')	Did (s)he have any lumps or lesions in the mouth?	Did (s)he have any lumps or lesions in the mouth?		2670
SWE_NECK	true_to_y_dot(Id10253 == 'yes' && Id10255 == 'yes')	Did (s)he have any lumps on the neck?	Did (s)he have any lumps on the neck?		2680
SWE_ARMP	true_to_y_dot(Id10253 == 'yes' && Id10256 == 'yes')	Did (s)he have any lumps on the armpit?	Did (s)he have any lumps on the armpit?		2690
SWE_BREAST	true_to_y_dot(Id10294 == 'yes')	Did she have an ulcer or swelling in the breast?	Did she have any swelling or lump in the breast?		2700
SWE_GEN	true_to_y_dot(Id10253 == 'yes' && Id10257 == 'yes')	Did (s)he have any lumps on the groin?	Did (s)he have any lumps on the groin?		2710
SWE_OTH	true_to_y_dot(Id10247 == 'yes')	Did (s)he have swelling (puffiness) of the face?	Did (s)he have puffiness of the face?		2720
SWE_LEGS	true_to_y_dot(Id10251 == 'yes')	Did (s)he have both feet swollen?	Did (s)he have both feet swollen?		2730
ANAEMIA	true_to_y_dot(Id10268 == 'yes')	Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?	Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?		2740
EXC_DRINK	true_to_y_dot(Id10270 == 'yes')	Did (s)he drink a lot more water than usual?	Did (s)he drink a lot more water than usual?		2750
HAIR	true_to_y_dot(Id10267 == 'yes')	Did her/his hair colour change to reddish or yellowish?	Did her/his hair change in color to a reddish or yellowish color?		2760
PARAL_ONE	true_to_y_dot(Id10259 == 'yes')	Did (s)he have paralysis of one side of the body?	Did s(he have paralysis of only one side of the body?		2770
EYE_SUNK	true_to_y_dot(Id10269 == 'yes')	Did (s)he have sunken eyes?	Did (s)he have sunken eyes?		2780
BL_ORIF	true_to_y_dot(Id10242 == 'yes')	Did (s)he bleed from the nose, mouth or anus?	Did (s)he bleed from the nose, mouth or anus?		2790
VB_BET	true_to_y_dot(Id10298 == 'yes')	Did she have excessive vaginal bleeding in between menstrual periods?	Did she have excessive vaginal bleeding in between menstrual periods?		2800
VB_MEN	true_to_y_dot(Id10299 == 'yes')	Did her vaginal bleeding stopped naturally during menopause?	Did her menstrual period stop naturally because of menopause?		2810
VB_AFTER	true_to_y_dot(Id10300 == 'yes')	Did she had vaginal bleeding after menopause?	Did she have vaginal bleeding after cessation of menstruation?		2820
DIFF_SW	true_to_y_dot(Id10263 == 'yes')	Did (s)he have difficulty or pain while swallowing liquids?	Was the difficulty with swallowing with solids, liquids, or both?		2830
NOT_PREG	any_to_y(c(Id10305 == 'no' && Id10306 == 'no', Id10310 == 'yes'))	Was she neither pregnant, nor delivered, within 6 weeks of her death?	Was she pregnant at the time of death?		3000
PREGNANT	true_to_y_dot(Id10305 == 'yes')	Was she pregnant at the time of death?	Was she pregnant at the time of death?		3010
DEL_6WKS	true_to_y_dot(Id10306 == 'yes')	Did she die within 6 weeks of giving birth?	Did she die within 6 weeks of delivery, abortion or miscarriage?		3020
PEND_6W	true_to_y_dot(Id10306 == 'yes' && Id10309 >= 0 && Id10309 < 6)	Did she die 6 weeks within a pregnancy that lasted less than 6 months?	Did she die within 6 weeks of delivery, abortion or miscarriage?		3030
FIRST_P	true_to_y_dot(Id10319 == 0)	Was this the woman's first pregnancy?	How many births, including stillbirths, did she/the mother have before this baby?		3040
MORE4	true_to_y_dot(Id10319 >= 4)	Did she have four or more births, including stillbirths, before this pregnancy?	How many births, including stillbirths, did she/the mother have before this baby?		3050
CS_PREV	true_to_y_dot(Id10320 == 'yes')	Did she have any previous Caesarean section?	Had she had any previous Caesarean section?		3060
MULTIP	true_to_y_dot(Id10317 == 'yes')	Did she die during or after a multiple pregnancy?	Did she die during or after a multiple pregnancy?	WHO ID changed	3070
LAB_24	true_to_y_dot(Id10332 >= 24)	Was she in labour for unusually long (more than 24 hours)?	For how many hours was she in labour?		3080
DIED_LAB	true_to_y_dot(Id10312 == 'yes')	Did she die during labour, but undelivered?	Did she die during labour, and before delivery?		3090
DEATH_24	true_to_y_dot(Id10314 == 'yes')	Did she die within 24 hours after delivery	Did she die within 24 hours after delivery?		3100
BABY_AL	true_to_y_dot(Id10316 == 'yes')	Did she give birth to a live, healthy baby within 6 weeks of death?	Did she give birth to a live baby (within 6 weeks of her death)?	WHO ID changed	3110
BREAST_FD	true_to_y_dot(Id10318 == 'yes')	Was she breastfeeding at death?	Was she breastfeeding the child in the days before death?		3120
DEL_FAC	true_to_y_dot(Id10337 == 'hospital' || Id10337 == 'other_health_facility')	Did she give birth in a health facility?	Where did she give birth?		3130
DEL_HOME	true_to_y_dot(Id10337 == 'home')	Did she give birth at home?	Where did she give birth?		3140
DEL_ELSE	true_to_y_dot(Id10337 == 'on_route_to_hospital_or_facility' || Id10337 == 'other')	Did she give birth elsewhere, e.g. on the way to a facility?	Where did she give birth?		3150
PROF_ASS	true_to_y_dot(Id10338 == 'yes')	Did she receive professional assistance during the delivery?	Did she receive professional assistance during the delivery?		3160
DEL_NORM	true_to_y_dot(Id10342 == 'yes')	Did she have a normal vaginal delivery?	Was the delivery normal vaginal, without forceps or vacuum?		3170
DEL_ASS	true_to_y_dot(Id10343 == 'yes')	Did she have an assisted delivery, with forceps/vacuum?	Was the delivery vaginal, with forceps or vacuum?		3180
DEL_CS	true_to_y_dot(Id10344 == 'yes')	Did she deliver by Caesarean section?	Was the delivery a Caesarean section?		3190
BABY_POS	true_to_y_dot(Id10331 == 'yes')	Did she deliver or try to deliver an abnormally positioned baby?	Did she deliver or try to deliver an abnormally positioned baby?		3200
MON_EARLY	true_to_y_dot(Id10347 == 'yes')	Was the baby born more than one month early?	Was the baby born more than one month early?		3205
HYSTER	true_to_y_dot(Id10347 == 'yes')	Did she have an operation to remove her uterus shortly before death?	Did she have an operation to remove her uterus shortly before death?		3210
BPR_PREG	true_to_y_dot(Id10321 == 'yes')	During pregnancy, did she suffer from high blood pressure?	During pregnancy, did she suffer from high blood pressure?		3220
FIT_PREG	true_to_y_dot(Id10323 == 'yes')	During the last 3 months of pregnancy, did she suffer from convulsions?	During the last 3 months of pregnancy, did she suffer from convulsions?		3230
VIS_BL	true_to_y_dot(Id10324 == 'yes')	During the last 3 months of pregnancy did she suffer from blurred vision?	During the last 3 months of pregnancy did she suffer from blurred vision?		3240
BLEED	any_to_y(c(Id10325 == 'yes', Id10329 == 'yes'))	Was there excessive vaginal bleeding during pregnancy or after delivery?	Did she have excessive bleeding during pregnancy before labour started?		3250
E_BLEED	true_to_y_dot(Id10326 == 'yes')	Was there vaginal bleeding during the first 6 months of pregnancy?	Was there vaginal bleeding during the first 6 months of pregnancy?		3260
S_BLEED	true_to_y_dot(Id10327 == 'yes')	Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?	Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?		3270
D_BLEED	true_to_y_dot(Id10328 == 'yes')	Was there excessive vaginal bleeding during labour?	Did she have excessive bleeding during labour or delivery?		3280
P_BLEED	true_to_y_dot(Id10329 == 'yes')	Was there excessive vaginal bleeding after delivering the baby?	Did she have excessive bleeding after delivery or abortion?		3290
PLACENT_R	true_to_y_dot(Id10330 == 'no')	Was the placenta not completely delivered?	Was the placenta completely delivered?		3300
DISCH_SM	true_to_y_dot(Id10322 == 'yes')	Did she have foul smelling vaginal discharge during pregnancy or after delivery?	Did she have foul smelling vaginal discharge during pregnancy or after delivery?		3310
TERM_ATT	true_to_y_dot(Id10333 == 'yes')	Did she attempt to terminate the pregnancy?	Did she attempt to terminate the pregnancy?		3330
ABORT	true_to_y_dot(Id10334 == 'yes')	Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?	Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?		3340
BORN_EARLY	any_to_y(c(Id10367 >= 0 && Id10367 < 9, Id10347 == 'yes'))	Had the pregnancy lasted less than 34 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4000
BORN_3437	true_to_y_dot(Id10367 == 9)	Had the pregnancy lasted between 34 and 37 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4010
BORN_38	true_to_y_dot(Id10367 > 9)	Had the pregnancy lasted more than 37 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4020
AB_SIZE	true_to_y_dot(Id10362 == 'no')	Was the baby of abnormal size?	At birth, was the baby of usual size?		4030
BORN_SMALL	true_to_y_dot(Id10363 == 'yes')	Was the baby smaller than normal, weighing under 2.5 kg?	At birth, was the baby smaller than usual, (weighing under 2.5 kg)?		4040
